workout,exercise,main muscle(s),secondary muscle(s),bodyweight?,BW + extra weight,Assisted? BW - extra weight,Timed?,LR?
"Push, Upper, Compound",Bench Press (Dumbbells),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Bench Press (Barbell),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Bench Press (Machine),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Incline Bench Press (Dumbbells),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Incline Bench Press (Barbell),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Incline Bench Press (Machine),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Dips,Chest,"Triceps, Front Delts",TRUE
"Push, Upper, Compound",Dips (Weighted),Chest,"Triceps, Front Delts",,TRUE
"Push, Upper, Compound",Dips (Machine),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Shoulder Press (Dumbbells),Front Delts,"Triceps, Side Delts"
"Push, Upper, Compound",Shoulder Press (Barbell),Front Delts,"Triceps, Side Delts"
"Push, Upper, Compound",Shoulder Press (Machine),Front Delts,"Triceps, Side Delts"
"Push, Upper",Chest Fly (Dumbbells),Chest,Front Delts
"Push, Upper",Chest Fly (Machine),Chest,Front Delts
"Push, Upper",Chest Fly (Cable),Chest,Front Delts
"Push, Upper",Crossovers (Cable),Chest,"Triceps, Front Delts"
"Push, Upper, Compound",Push-ups,Chest,"Triceps, Front Delts",TRUE
"Push, Upper, Compound",Push-ups (Weighted),Chest,"Triceps, Front Delts",,TRUE
"Push, Upper",Lateral Raises (L/R Cable),Side Delts,,,,,,TRUE
"Push, Upper",Lateral Raises (Cable),Side Delts
"Push, Upper",Lateral Raises (Dumbbells),Side Delts
"Push, Upper",Lateral Raises (Machine),Side Delts
"Push, Upper",Pushdowns (Cable),Triceps,Front Delts
"Push, Upper",Overhead Tricep Extensions (Cable),Triceps,Front Delts
"Push, Upper",Overhead Tricep Extensions (Dumbbells L/R),Triceps,Front Delts,,,,,TRUE
"Push, Upper",Overhead Tricep Extensions (Dumbbell),Triceps,Front Delts
"Pull, Upper, Compound",Rows (Close-grip Cable),Lats,"Traps, Biceps, Rear Delts"
"Pull, Upper, Compound",Rows (Wide-grip Cable),Traps,"Lats, Biceps, Rear Delts"
"Pull, Upper, Compound",Rows (Machine),"Lats, Traps","Biceps, Rear Delts"
"Pull, Upper, Compound",Rows (Barbell),"Lats, Traps","Biceps, Rear Delts"
